ST	dinB	icdA	pabB	polB	putP	trpA	trpB	uidA
1	1	1	2	1	1	2	3	1
2	8	2	7	3	7	1	4	2
3	3	8	5	11	8	3	5	3
4	2	4	6	4	1	6	1	1
5	5	3	3	10	5	8	2	5
6	1	7	1	9	2	20	1	6
7	6	6	4	2	6	7	2	4
8	23	9	8	12	9	11	7	13
9	9	20	15	7	4	9	6	9
10	4	18	10	5	2	4	1	6
11	10	2	3	17	17	1	4	22
12	5	3	4	27	24	1	16	21
13	1	1	2	1	1	2	3	25
14	18	12	17	14	14	14	14	14
15	8	2	7	3	2	1	4	2
16	8	2	7	3	22	1	4	2
17	11	3	20	3	15	1	4	16
18	10	29	3	18	18	1	4	23
19	7	37	4	10	26	7	4	2
20	4	19	1	34	2	2	1	1
21	7	33	18	2	5	28	2	2
22	1	13	9	8	2	10	1	7
23	18	38	27	11	8	12	13	11
24	7	32	18	2	5	8	2	2
25	4	16	10	5	2	4	1	6
26	4	15	10	5	2	4	1	6
27	4	24	10	5	2	4	1	6
28	2	22	6	4	1	6	1	1
29	2	23	6	4	1	6	1	1
30	2	27	6	4	1	6	1	1
31	20	42	21	22	19	27	19	17
32	1	25	9	8	2	10	1	7
33	1	26	9	8	2	10	1	7
34	12	40	24	19	13	24	8	29
35	4	25	1	6	2	2	1	1
36	4	19	1	6	2	2	1	1
37	10	29	7	3	7	1	4	2
38	13	39	11	16	2	25	8	19
39	13	39	11	16	12	25	8	19
40	1	13	12	1	3	5	3	8
41	1	13	12	1	1	5	3	8
42	22	41	22	3	23	23	20	18
43	9	1	15	7	4	9	6	9
44	17	9	28	12	9	13	9	11
45	19	9	25	20	9	22	10	13
46	17	12	26	13	11	13	11	3
47	26	10	29	21	2	16	12	11
48	2	11	23	15	10	15	10	12
49	2	4	6	4	2	6	1	1
50	2	4	6	4	1	4	1	1
51	2	15	1	9	2	20	1	6
52	2	4	6	4	1	21	1	1
53	1	7	1	9	20	20	1	6
54	24	31	4	26	2	29	2	2
55	1	26	2	28	1	18	1	8
56	11	36	4	25	25	31	18	20
57	10	28	7	18	18	26	17	2
58	5	3	3	26	5	1	2	5
59	6	5	3	24	6	7	2	4
60	16	17	16	30	4	19	1	24
61	14	14	14	29	2	4	1	15
62	3	8	5	11	2	3	5	3
63	21	34	3	23	2	1	15	2
64	1	14	2	31	21	4	1	7
65	6	6	3	2	6	7	2	4
66	6	5	3	2	6	7	2	4
