ST	dnaA	rpoB	gyrB	gltX	adk	gmk	clonal_complex
1	1	1	1	1	1	1	
2	1	1	6	1	1	1	
3	1	7	2	2	3	1	
4	10	4	2	1	1	3	
5	1	4	2	7	1	3	
6	4	4	2	1	1	3	
7	1	4	2	1	1	1	
8	1	2	2	1	1	3	
9	3	1	6	1	4	3	
10	3	4	6	4	1	3	
11	3	4	6	1	1	3	
12	3	1	4	1	1	3	
13	1	1	1	1	1	3	
14	2	3	3	1	1	1	
15	1	3	1	1	2	3	
16	1	3	1	1	1	3	
17	1	1	4	1	1	1	
18	9	7	4	6	1	3	
19	8	6	5	1	1	3	
20	8	7	6	1	3	3	
21	10	1	4	5	3	3	
22	10	1	4	1	3	3	
23	7	1	4	1	3	1	
24	1	7	4	1	1	1	
25	5	7	4	1	1	3	
26	1	7	4	3	1	3	
27	6	5	6	4	2	5	
28	1	7	6	4	1	4	
29	1	7	4	4	2	2	
30	10	7	4	1	1	3	
31	10	8	4	1	1	3	
32	10	1	4	1	1	3	
33	10	7	4	1	1	6	
34	10	7	4	8	1	3	
35	1	1	6	9	1	4	
36	10	7	2	1	5	4	
37	10	7	2	1	5	3	
38	1	1	7	1	1	3	
39	1	7	4	1	6	3	
40	1	1	2	1	1	3	
41	10	1	1	1	5	4	
42	1	1	1	1	5	4	
43	10	1	1	1	7	4	
44	10	1	1	1	1	7	
45	3	7	4	1	1	3	
46	3	7	4	10	1	3	
47	1	7	4	1	1	8	
48	1	7	4	1	1	4	
49	11	1	6	1	1	1	
50	1	1	8	1	1	3	
51	12	7	4	1	1	6	
52	10	9	4	1	1	3	
53	10	10	2	1	7	3	
54	10	1	1	1	1	4	
55	1	7	6	9	1	3	
56	13	1	4	1	1	3	
57	10	11	4	1	1	3	
58	13	1	6	11	1	3	
59	1	1	9	1	4	3	
60	1	7	10	1	1	3	
61	14	11	4	1	8	9	
62	8	7	4	4	1	3	
63	8	1	2	9	1	4	
64	8	1	2	1	1	4	
65	1	1	1	1	4	3	
66	1	1	4	4	1	3	
67	1	2	1	1	1	3	
68	11	1	4	1	1	3	
69	13	1	2	1	1	3	
70	1	1	6	1	1	3	
71	13	1	1	4	1	3	
72	7	1	6	1	1	3	
73	13	1	1	9	1	3	
74	7	1	1	4	1	3	
75	7	1	4	4	1	3	
76	15	12	4	1	1	1	
77	3	7	4	1	1	10	
78	15	1	4	9	1	4	
79	1	7	4	9	1	1	
80	1	1	4	1	1	3	
81	1	11	6	1	1	3	
82	3	2	6	4	1	3	
83	17	1	2	1	1	3	
84	1	7	2	1	1	3	
85	10	7	2	4	9	4	
86	10	15	8	4	1	3	
87	1	14	4	12	1	3	
88	10	1	2	1	1	3	
89	1	1	2	13	1	3	
90	1	13	2	1	1	3	
91	10	16	1	14	1	3	
92	1	1	2	4	1	3	
93	10	1	11	1	1	3	
94	10	15	2	1	1	3	
95	10	7	2	12	1	3	
96	16	1	2	1	1	3	
97	13	7	6	1	1	3	
98	10	1	6	1	1	3	
99	1	1	12	1	1	3	
100	1	1	6	4	1	8	
101	10	1	6	4	1	3	
102	1	17	13	1	5	4	
103	19	7	2	1	1	3	
104	18	18	2	1	1	3	
105	13	1	11	1	1	3	
106	1	1	8	9	1	4	
107	13	1	11	1	1	1	
108	3	1	2	1	1	3	
109	3	1	2	1	1	4	
110	1	1	2	9	1	3	
111	8	1	9	1	1	3	
112	1	1	1	1	1	4	
113	1	1	6	4	1	3	
114	1	9	11	1	1	3	
115	13	1	1	1	1	3	
116	1	1	1	1	13	1	
117	1	1	14	4	1	3	
118	1	1	2	15	1	3	
119	1	1	8	15	1	3	
120	1	19	4	1	1	3	
121	1	19	2	4	12	3	
122	1	19	14	1	1	11	
123	1	1	2	16	1	3	
124	3	1	6	9	11	3	
125	1	1	2	1	10	3	
126	1	1	8	17	1	3	
127	1	19	4	9	1	3	
128	1	1	11	15	1	3	
129	10	15	6	4	1	3	
130	10	19	2	1	1	3	
131	1	18	2	1	1	3	
132	10	1	6	9	1	4	
133	13	1	2	9	1	3	
134	1	23	2	1	14	3	
135	20	21	6	1	1	3	
136	10	1	2	18	1	3	
137	1	1	2	1	1	13	
138	21	1	2	1	1	3	
139	1	20	2	4	1	12	
140	22	22	2	1	1	3	
141	1	7	2	18	1	3	
142	1	24	2	1	1	4	
143	23	1	2	1	1	4	
144	24	1	1	4	2	5	
145	6	1	4	4	2	5	
146	10	1	1	1	2	3	
147	25	1	4	4	1	3	
148	1	1	1	4	1	3	
149	2	1	4	1	1	3	
150	1	3	4	4	2	5	
151	10	1	3	1	1	5	
152	25	1	3	1	1	3	
153	1	1	4	4	1	1	
154	2	1	4	1	1	5	
155	25	1	11	4	1	5	
156	25	1	4	4	1	5	
157	1	3	11	1	1	3	
158	1	1	4	1	1	5	
159	1	1	11	1	8	3	
160	1	1	6	18	1	1	
161	1	1	11	4	1	5	
162	2	1	4	6	1	3	
163	2	1	3	1	1	3	
164	10	1	1	4	1	5	
165	25	1	4	4	2	5	
166	26	1	4	4	2	5	
