ST	dnaA	rpoB	gyrB	gltX	adk	gmk	clonal_complex
1	1	1	1	1	1	1	
2	1	1	6	1	1	1	
3	1	7	2	2	3	1	
4	10	4	2	1	1	3	
5	1	4	2	7	1	3	
6	4	4	2	1	1	3	
7	1	4	2	1	1	1	
8	1	2	2	1	1	3	
9	3	1	6	1	4	3	
10	3	4	6	4	1	3	
11	3	4	6	1	1	3	
12	3	1	4	1	1	3	
13	1	1	1	1	1	3	
14	2	3	3	1	1	1	
15	1	3	1	1	2	3	
16	1	3	1	1	1	3	
17	1	1	4	1	1	1	
18	9	7	4	6	1	3	
19	8	6	5	1	1	3	
20	8	7	6	1	3	3	
21	10	1	4	5	3	3	
22	10	1	4	1	3	3	
23	7	1	4	1	3	1	
24	1	7	4	1	1	1	
25	5	7	4	1	1	3	
26	1	7	4	3	1	3	
27	6	5	6	4	2	5	
28	1	7	6	4	1	4	
29	1	7	4	4	2	2	
30	10	7	4	1	1	3	
31	10	8	4	1	1	3	
32	10	1	4	1	1	3	
33	10	7	4	1	1	6	
34	10	7	4	8	1	3	
35	1	1	6	9	1	4	
36	10	7	2	1	5	4	
37	10	7	2	1	5	3	
38	1	1	7	1	1	3	
39	1	7	4	1	6	3	
40	1	1	2	1	1	3	
41	10	1	1	1	5	4	
42	1	1	1	1	5	4	
43	10	1	1	1	7	4	
44	10	1	1	1	1	7	
45	3	7	4	1	1	3	
46	3	7	4	10	1	3	
47	1	7	4	1	1	8	
48	1	7	4	1	1	4	
49	11	1	6	1	1	1	
50	1	1	8	1	1	3	
51	12	7	4	1	1	6	
52	10	9	4	1	1	3	
53	10	10	2	1	7	3	
54	10	1	1	1	1	4	
55	1	7	6	9	1	3	
56	13	1	4	1	1	3	
57	10	11	4	1	1	3	
58	13	1	6	11	1	3	
59	1	1	9	1	4	3	
60	1	7	10	1	1	3	
61	14	11	4	1	8	9	
62	8	7	4	4	1	3	
63	8	1	2	9	1	4	
64	8	1	2	1	1	4	
65	1	1	1	1	4	3	
66	1	1	4	4	1	3	
67	1	2	1	1	1	3	
68	11	1	4	1	1	3	
69	13	1	2	1	1	3	
70	1	1	6	1	1	3	
