ST	adk	atpG	efp	gmk	nagC	ppa	recA	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	1	2	
3	3	3	2	3	3	2	3	
4	4	4	3	2	4	3	4	
5	3	3	2	4	3	2	3	
6	5	5	2	5	5	4	5	
7	5	5	2	5	6	4	5	
8	6	6	4	6	7	5	6	
9	6	7	4	7	7	5	6	
10	7	5	2	8	8	6	7	
11	8	8	5	9	9	4	4	
12	9	9	5	10	10	7	8	
13	8	10	6	1	11	8	4	
14	5	5	7	5	5	4	5	
15	7	5	8	8	8	6	7	
16	9	11	9	11	12	4	9	
17	10	12	10	5	13	4	10	
18	4	13	10	5	13	4	4	
19	9	13	10	5	13	4	4	
20	9	11	9	11	12	9	9	
21	11	6	11	1	14	10	11	
22	12	14	5	10	15	11	12	
23	8	15	5	12	16	12	4	
24	12	14	5	10	17	11	12	
25	5	16	12	13	10	12	13	
26	5	14	5	9	15	13	13	
27	13	14	13	1	17	3	14	
28	14	17	12	9	18	4	15	
29	4	13	10	5	13	14	4	
30	4	13	10	5	13	15	4	
31	3	23	2	3	3	2	3	
32	16	19	15	2	23	12	18	
33	5	22	5	11	24	6	13	
35	13	4	5	9	22	12	4	
36	15	11	9	11	12	4	9	
37	17	14	13	2	20	17	17	
38	15	11	9	11	12	9	9	
39	5	18	5	2	15	1	16	
40	15	21	9	11	12	9	9	
41	16	19	5	11	19	16	8	
42	3	4	3	2	4	3	4	
43	4	2	2	2	2	1	2	
44	2	3	2	3	3	2	3	
45	2	3	2	4	3	2	3	
46	3	13	10	5	13	4	4	
47	16	20	14	14	21	8	8	
