ST	dnaA	gltX	gpsA	gyrB	pta2	tdk	tkt	clonal_complex
1	1	1	2	1	2	3	4	
2	1	1	3	3	2	3	1	
3	1	1	3	3	5	3	1	
4	1	1	3	13	2	15	1	
5	1	2	1	2	2	1	2	
6	1	2	1	2	5	1	2	
7	1	2	1	3	5	1	3	
8	1	2	1	4	5	1	3	
9	1	2	1	5	5	2	3	
10	1	2	1	23	5	1	3	
11	1	2	3	3	2	3	2	
12	1	2	4	2	1	3	2	
13	1	2	15	2	1	3	2	
14	1	3	1	3	2	2	3	
15	1	3	1	3	5	2	4	
16	1	3	2	3	5	3	4	
17	1	3	2	3	5	3	6	
18	1	3	2	5	5	3	4	
19	1	3	3	3	2	3	1	
20	1	3	3	3	2	3	4	
21	1	3	3	3	2	3	6	
22	1	3	3	3	2	3	19	
23	1	3	3	3	3	3	4	
24	1	3	3	3	4	3	4	
25	1	3	3	3	5	2	4	
26	1	3	3	3	5	3	3	
27	1	3	3	3	5	3	4	
28	1	3	3	3	5	12	3	
29	1	3	3	5	2	2	3	
30	1	3	3	5	2	2	4	
31	1	3	3	5	20	2	3	
32	1	3	3	5	22	2	3	
33	1	3	3	11	5	3	4	
34	1	3	3	19	2	2	4	
35	1	3	3	24	2	3	6	
36	1	13	2	3	5	3	4	
37	1	14	14	11	5	13	21	
38	1	16	6	5	21	2	4	
39	1	17	1	2	5	1	2	
40	2	1	3	3	2	3	1	
41	3	3	2	3	5	3	6	
42	3	3	2	3	15	3	6	
43	4	8	2	1	2	3	4	
44	5	1	4	13	2	2	10	
45	5	1	4	13	2	3	10	
46	5	1	4	25	2	3	10	
47	5	1	4	27	2	2	10	
48	5	2	2	3	5	3	4	
49	5	3	1	3	5	3	24	
50	5	3	2	3	2	3	6	
51	5	3	2	3	5	2	4	
52	5	3	2	3	5	3	4	
53	5	3	2	3	5	4	4	
54	5	3	2	3	17	3	4	
55	5	3	2	5	5	3	11	
56	5	3	2	12	5	3	4	
57	5	3	2	13	5	3	4	
58	5	3	2	22	5	3	4	
59	5	3	2	26	5	3	4	
60	5	3	3	3	2	3	4	
61	5	3	3	3	2	3	28	
62	5	3	3	3	4	3	4	
63	5	3	3	3	5	3	4	
64	5	3	3	3	5	3	6	
65	5	3	3	13	5	3	4	
66	5	3	4	3	5	3	4	
67	5	3	4	13	2	3	4	
68	5	3	4	13	2	3	27	
69	5	3	4	13	8	3	10	
70	5	3	9	13	5	3	4	
71	5	3	10	3	5	2	4	
72	5	5	2	3	5	3	4	
73	5	16	6	21	5	10	23	
74	6	3	3	3	4	3	4	
75	7	2	3	3	8	9	10	
76	7	3	2	3	5	3	4	
77	7	3	2	3	5	17	4	
78	7	3	2	18	5	3	4	
79	7	3	16	3	5	3	4	
80	8	2	3	3	5	3	4	
81	9	3	2	20	5	3	4	
82	9	14	6	20	18	10	21	
83	10	15	13	21	19	11	22	
84	11	2	1	11	21	13	3	
85	11	2	1	11	21	14	3	
86	11	3	14	11	5	3	4	
87	12	3	2	3	5	3	4	
88	13	18	17	28	24	18	29	
89	5	3	6	13	21	6	10	
90	5	3	2	3	5	7	4	
91	1	1	1	3	2	3	3	
92	1	1	1	3	2	3	6	
93	1	1	1	3	5	3	3	
94	1	2	4	2	1	7	2	
95	1	3	1	3	2	1	6	
96	1	3	1	3	2	3	6	
97	1	3	3	1	2	3	1	
98	1	3	3	1	2	3	6	
99	1	3	3	3	1	3	6	
100	1	3	3	3	2	3	3	
101	1	3	3	3	2	3	13	
102	1	3	3	3	2	3	15	
103	1	3	3	3	2	3	26	
104	1	3	3	3	10	3	6	
105	1	3	3	3	12	3	6	
106	1	3	3	3	23	3	25	
107	1	3	3	15	2	3	1	
108	1	3	8	1	2	3	1	
109	1	10	1	1	5	3	3	
110	1	11	4	2	1	3	14	
111	4	1	3	1	2	3	1	
112	4	1	3	1	13	3	1	
113	5	1	2	3	11	3	3	
114	5	1	3	3	2	3	1	
115	5	9	2	3	2	3	4	
116	17	1	3	1	2	3	1	
117	14	1	3	1	2	3	1	
118	15	2	4	2	1	3	2	
119	16	1	3	1	2	3	1	
120	17	1	3	1	2	3	6	
121	5	1	3	1	2	3	1	
122	1	3	3	3	5	3	6	
123	4	3	3	3	2	3	6	
